,title,link,rating,topic_0,topic_1,topic_2,language,num_ratings
8,Learn Graphic Design with Photoshop 2020,https://www.udemy.com/course/learn-graphic-design-with-photoshop-2020/?couponCode=TRY11FREE,3.4,Design,Grafikdesign,Grafikdesign,Englisch,55.0
63,Create your own virtual 3D events in VR in 2020,https://www.udemy.com/course/create-your-own-virtual-3d-events-in-vr/?couponCode=A2098D5D39B91ED6073D,3.2,Design,Sonstiges,Virtuelle Realität,Englisch,37.0
16,Learn App Design with Photoshop 2020,https://www.udemy.com/course/learn-app-design-with-photoshop-2020/?couponCode=TRY11FREE,3.1,Design,Webdesign,Mobile-App-Design,Englisch,17.0
30,Learn Mobile Design with Photoshop 2020,https://www.udemy.com/course/learn-mobile-design-with-photoshop-2020/?couponCode=TRY11FREE,3.7,Design,Webdesign,Webdesign,Englisch,14.0
65,Learn Web Design with Photoshop 2020,https://www.udemy.com/course/learn-web-design-with-photoshop-2020/?couponCode=TRY11FREE,3.4,Design,Webdesign,Photoshop,Englisch,34.0
44,Hacking POS & Credit Cards: Techniques and Countermeasures,https://www.udemy.com/course/hacking-pos-credit-cards-techniques-and-countermeasures/?couponCode=CCWELCOME,3.4,IT & Software,Netzwerk & Sicherheit,,Englisch,22.0
25,Expand Your Marketing Reach Without Writing a Word,https://www.udemy.com/course/affiliate-marketing-facebook/?couponCode=5F8D805E426230853F68,3.2,Marketing,Content-Marketing,Marketingstrategie,Englisch,53.0
46,How To Create High-Quality Blog Content That Gets Shared,https://www.udemy.com/course/how-to-create-high-quality-blog-content-that-gets-shared/?couponCode=SUPERPROMO45F,4.2,Marketing,Content-Marketing,Bloggen,Englisch,233.0
5,Facebook Dynamic Ads (Facebook Dynamic Retargeting) MASTERY,https://www.udemy.com/course/facebook-dynamic-ads/?couponCode=DIAMONDHAPPINESS,4.7,Marketing,Digitales Marketing,Retargeting,Englisch,40.0
75,Get Started Online With No Investment - Newbie Friendly,https://www.udemy.com/course/free-traffic-online/?couponCode=SUPERPROMO45F,3.6,Marketing,Digitales Marketing,Internet-Marketing,Englisch,30.0
31,Entrepreneur's Guide to Effective Design of a Fan Page,https://www.udemy.com/course/fan-page/?couponCode=SUPERPROMO45F,4.5,Marketing,Social-Media-Marketing,Facebook-Marketing,Englisch,31.0
73,Facebook Marketing: Advanced Targeting Strategies,https://www.udemy.com/course/facebook-marketing-advanced-targeting-strategies/?couponCode=SUPERPROMO45F,4.2,Marketing,Social-Media-Marketing,Facebook-Marketing,Englisch,661.0
81,Facebook Social Media Sales Success,https://www.udemy.com/course/facebook-social-media/?couponCode=6FC401A7CECCD4A47A6A,3.9,Marketing,Social-Media-Marketing,Social-Media-Marketing,Englisch,175.0
82,Podcast Power Breathing Masterclass,https://www.udemy.com/course/learn-to-podcast-using-your-breath/?couponCode=F1A4B4802CBB8857AAF4,4.1,Marketing,Social-Media-Marketing,Podcasts,Englisch,27.0
39,Stop Being Tone-Deaf - Singing On Pitch,https://www.udemy.com/course/stop-being-tone-deaf/?couponCode=D68F550F774959DCAA14,4.6,Musik,Gesang,Singen,Englisch,9.0
14,Secrets Of Psychology - Why People Do The Things They Do,https://www.udemy.com/course/secrets-of-psychology/?couponCode=SUPERPROMO45F,4.4,Persönliche Entwicklung,Glücklich leben,Psychologie,Englisch,120.0
77,Innovation 2020: Learn To Think Creatively Like Walt Disney,https://www.udemy.com/course/learn-to-think-creatively-like-walt-disney/?couponCode=A1022D9D92D98EAD7947,3.7,Persönliche Entwicklung,Kreativität,Kreativität,Englisch,128.0
35,Lambda with Functional Programming in Java8,https://www.udemy.com/course/lambda-with-functional-programming-in-java/?couponCode=FREEFOR3DAYS,3.9,Programmierung,Programmiersprachen,Java,Englisch,32.0
12,Learn PowerShell,https://www.udemy.com/course/learn-powershell/?couponCode=TRY30FREE,3.4,Programmierung,Sonstiges,PowerShell,Englisch,82.0
6,Learn Basic HTML5,https://www.udemy.com/course/learn-basic-html5/?couponCode=TRY30FREE,4.1,Programmierung,Webentwicklung,HTML5,Englisch,229.0
7,CSS & JavaScript - Certification Course for Beginners,https://www.udemy.com/course/css-javascript-certification-course-for-beginners/?couponCode=35BC3C059B03D312A9D2,4.2,Programmierung,Webentwicklung,JavaScript,Englisch,61.0
20,Learn Sublime Text 3,https://www.udemy.com/course/learn-sublime-text-3/?couponCode=TRY30FREE,4.0,Programmierung,Webentwicklung,Sublime Text,Englisch,63.0
21,Learn Font Awesome,https://www.udemy.com/course/learn-font-awesome/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,Icon-Design,Englisch,21.0
23,Learn Basic JavaScript,https://www.udemy.com/course/learn-basic-javascript/?couponCode=TRY30FREE,3.9,Programmierung,Webentwicklung,JavaScript,Englisch,161.0
34,Learn Basic Bootstrap 4,https://www.udemy.com/course/learn-basic-bootstrap-4/?couponCode=TRY30FREE,4.2,Programmierung,Webentwicklung,Bootstrap,Englisch,63.0
36,Learn Basic CSS3,https://www.udemy.com/course/learn-basic-css3/?couponCode=TRY30FREE,4.0,Programmierung,Webentwicklung,CSS,Englisch,87.0
41,WP Plugin Development - Build your own plugin!,https://www.udemy.com/course/wp-plugin-development-build-your-own-plugin/?couponCode=SUPERPROMO45F,3.9,Programmierung,Webentwicklung,WordPress,Englisch,151.0
45,Learn Git Bash,https://www.udemy.com/course/learn-git-bash/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,Git,Englisch,129.0
50,Learn Advanced Bootstrap 4,https://www.udemy.com/course/learn-advanced-bootstrap-4/?couponCode=TRY30FREE,3.9,Programmierung,Webentwicklung,Bootstrap,Englisch,50.0
61,Learn Basic jQuery,https://www.udemy.com/course/learn-basic-jquery/?couponCode=TRY30FREE,4.2,Programmierung,Webentwicklung,jQuery,Englisch,52.0
62,Learn Basic GitHub,https://www.udemy.com/course/learn-basic-github/?couponCode=TRY30FREE,3.5,Programmierung,Webentwicklung,GitHub,Englisch,105.0
66,Learn Advanced SVG,https://www.udemy.com/course/learn-advanced-svg/?couponCode=TRY30FREE,3.6,Programmierung,Webentwicklung,SVG,Englisch,19.0
85,Learn Domain Names,https://www.udemy.com/course/learn-domain-names/?couponCode=TRY30FREE,3.7,Programmierung,Webentwicklung,Domainname,Englisch,59.0
88,Podcast in The Classroom - Kindergarten to High School,https://www.udemy.com/course/learn-to-podcast-in-the-classroom/?couponCode=D155428E159FD2A35A5C,5.0,Wissenschaft & Lehre,Lehrausbildung,Podcasts,Englisch,17.0
32,How To Create An Online Course That Sells,https://www.udemy.com/course/how-to-create-an-online-course-that-sells/?couponCode=SUPERPROMO45F,4.4,Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,Englisch,160.0
26,Express GRE 320+ Preparation Formula,https://www.udemy.com/course/express-gre-preparation/?couponCode=FEB2020,3.4,Wissenschaft & Lehre,Prüfungsvorbereitung,GRE,Englisch,32.0
