,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring
14,Facebook Marketing: Next Level List Building Strategies,https://www.udemy.com/course/facebook-marketing-next-level-list-building-strategies/?couponCode=65SUPERPROMO00,4.1,226,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
18,Marketer's Guide To Creating Facebook Ads That Convert,https://www.udemy.com/course/facebook-marketing-how-to-create-converting-ads/?couponCode=65SUPERPROMO00,4.4,612,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
36,Facebook Marketing: Drive Highly Targeted Facebook Traffic,https://www.udemy.com/course/facebook-marketing-targeted-traffic/?couponCode=65SUPERPROMO00,4.3,414,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
39,"How To Get Your First 10,000 Facebook Fans In 2018",https://www.udemy.com/course/how-to-get-your-first-10000-facebook-fans-in-2016/?couponCode=65SUPERPROMO00,4.3,213,en,31 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
41,"How to Get Your First 1,000 Facebook Fans: For Beginners",https://www.udemy.com/course/facebook-marketing-like-campaign/?couponCode=65SUPERPROMO00,4.0,432,en,1 Stunde,Marketing,Social-Media-Marketing,Facebook-Marketing,99
55,Powerful Way To Grow Your Business With Contests,https://www.udemy.com/course/powerful-way-to-grow-your-business-with-contests/?couponCode=65SUPERPROMO00,3.6,35,en,30 Min.,Marketing,Social-Media-Marketing,Businessstrategie,99
67,Facebook Marketing: Reveal The Power of Promoted Posts,https://www.udemy.com/course/promoted-posts/?couponCode=65SUPERPROMO00,4.3,454,en,44 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
80,Facebook Marketing: Advanced Targeting Strategies,https://www.udemy.com/course/facebook-marketing-advanced-targeting-strategies/?couponCode=65SUPERPROMO00,4.1,668,en,"1,5 Stunden",Marketing,Social-Media-Marketing,Facebook-Marketing,99
97,Podcast Outsourcing,https://www.udemy.com/course/outsource-podcasts-social-media-marketing/?couponCode=186F44D4ECBFBBFE4B36,4.3,26,en,"1,5 Stunden",Marketing,Social-Media-Marketing,Podcasts,5
103,Podcast Audience Growth - Networking with your Guests,https://www.udemy.com/course/power-networking-for-podcast-success/?couponCode=63B2AC61CFD0B9A58FF6,3.3,15,en,"2,5 Stunden",Marketing,Social-Media-Marketing,Podcasts,99
107,Facebook Marketing: How To Improve Your Fan Page Performance,https://www.udemy.com/course/facebook-marketing-how-to-improve-your-fan-page-performance/?couponCode=65SUPERPROMO00,3.9,283,en,36 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
108,How To Promote Your Event On Facebook,https://www.udemy.com/course/how-to-promote-your-event-on-facebook/?couponCode=65SUPERPROMO00,4.2,83,en,33 Min.,Marketing,Social-Media-Marketing,Facebook-Marketing,99
65,Advanced Parenting Skills - BEST Parenting Class Ever!,https://www.udemy.com/course/advanced-parenting-skills-best-parenting-class/?couponCode=65SUPERPROMO00,4.4,52,en,"3,5 Stunden",Persönliche Entwicklung,Erziehung & Beziehung,Erziehung,99
25,Winning With Communication - Master Communication Skills,https://www.udemy.com/course/communication-skills-class-course-training/?couponCode=65SUPERPROMO00,4.2,151,en,2 Stunden,Persönliche Entwicklung,Karriereentwicklung,Kommunikationsfähigkeiten,99
27,Motivation - Motivating Yourself & Others - POWERFUL!,https://www.udemy.com/course/motivation-motivating-yourself-others/?couponCode=65SUPERPROMO00,4.2,117,en,2 Stunden,Persönliche Entwicklung,Motivation,,99
79,Metaphysical Awakening Symptoms - Spiritual Growth Explained,https://www.udemy.com/course/metaphysical-awakening-symptoms/?couponCode=C5E9C28DDD4D3BD00338,4.0,54,en,39 Min.,Persönliche Entwicklung,Persönliche Veränderung,Spiritualität,99
112,How To Achieve Your Personal Goals In 12 Months,https://www.udemy.com/course/how-to-achieve-anything-you-want-in-12-months/?couponCode=65SUPERPROMO00,4.3,95,en,"1,5 Stunden",Persönliche Entwicklung,Persönliche Veränderung,Ziele setzen,99
3,A Modern Day Guide To Stop Procrastinating,https://www.udemy.com/course/a-modern-day-guide-to-stop-procrastinating/?couponCode=65SUPERPROMO00,4.0,274,en,1 Stunde,Persönliche Entwicklung,Produktivität,Prokrastination,99
87,Coping Skills: For A Better Life!,https://www.udemy.com/course/coping-skills-tools-training-stress/?couponCode=65SUPERPROMO00,4.3,54,en,3 Stunden,Persönliche Entwicklung,Stressbewältigung,Stressbewältigung,99
120,Stress Management - For Relief From Stress of Life & Work,https://www.udemy.com/course/stress-management-reduction-tools-techniques-skills-work/?couponCode=65SUPERPROMO00,4.3,66,en,"1,5 Stunden",Persönliche Entwicklung,Stressbewältigung,Stressbewältigung,99
26,"Complete SQL Bootcamp with MySQL, PHP & Python",https://www.udemy.com/course/complete-sql-bootcamp-with-mysql-php-python/?couponCode=FREESQL,4.0,398,en,3 Stunden,Programmierung,Datenbanken,MySQL,6
64,Complete Database Course: 6 Courses in 1,https://www.udemy.com/course/database-course/?couponCode=FREEDATABASE,3.4,245,en,3 Stunden,Programmierung,Datenbanken,MySQL,99
22,Python Programming for Beginners in Data Science,https://www.udemy.com/course/just-enough-python/?couponCode=FEB_PYTHON_1,4.1,244,en,13 Stunden,Programmierung,Programmiersprachen,Python,99
90,C++ Basics - As Soon As Possible,https://www.udemy.com/course/cpp-basics/?couponCode=SHIVAM2602F,4.3,37,en,"5,5 Stunden",Programmierung,Programmiersprachen,C,99
66,User Stories for Agile Scrum+Product Owner+Business Analysis,https://www.udemy.com/course/userstory/?couponCode=250220_FREE,4.1,1622,en,1 Stunde,Programmierung,Softwareentwicklung,Agile,23
105,C# basic :Learn C# basic fundamentals from scratch,https://www.udemy.com/course/c-basic-learn-c-basic-fundamentals-from-scratch/?couponCode=CODEISCODE,4.6,9,en,3 Stunden,Programmierung,Sonstiges,C#,99
118,Mastering JSON - Java Script Object Notation,https://www.udemy.com/course/mastering-json/?couponCode=SHIVAM2602F,3.8,50,en,2 Stunden,Programmierung,Sonstiges,JSON,99
16,Simple and Advanced Topics of Animating 2D Characters,https://www.udemy.com/course/learn-how-to-make-animated-2d-characters-in-unity3d/?couponCode=65SUPERPROMO00,4.5,52,en,"3,5 Stunden",Programmierung,Spieleentwicklung,Charakteranimation,99
29,Learn How to Make Trading Card Game Menus With Unity 3D,https://www.udemy.com/course/learn-how-to-make-trading-card-game-menus-with-unity-3d/?couponCode=65SUPERPROMO00,3.8,95,en,"7,5 Stunden",Programmierung,Spieleentwicklung,Unity,99
12,"NGINX, Apache, SSL Encryption - Certification Course",https://www.udemy.com/course/nginx-apache-ssl-encryption-certification-course/?couponCode=D43A3A79CAB0AA5E1B2B,4.1,78,en,"3,5 Stunden",Programmierung,Webentwicklung,NGINX,5
35,WP Plugin Development - Build your own plugin!,https://www.udemy.com/course/wp-plugin-development-build-your-own-plugin/?couponCode=65SUPERPROMO00,4.0,156,en,4 Stunden,Programmierung,Webentwicklung,WordPress,99
42,Java Programming Challenge Level 1,https://www.udemy.com/course/java-pc1/?couponCode=SHIVAM2602F,4.4,16,en,"1,5 Stunden",Programmierung,Webentwicklung,Java,99
53,"HTML, CSS, & JavaScript - Certification Course for Beginners",https://www.udemy.com/course/html-css-javascript-certification-course-for-beginners/?couponCode=386F4144B7D0D1C2FA4C,4.2,468,en,"5,5 Stunden",Programmierung,Webentwicklung,CSS,4
57,Essentials of Docker For .Net Developers,https://www.udemy.com/course/docker-for-dotnet-developers/?couponCode=D27291CA665876EAF42F,3.5,33,en,"1,5 Stunden",Programmierung,Webentwicklung,Docker,99
111,The Complete Front-End Web Development Course!,https://www.udemy.com/course/front-end-web-development/?couponCode=CA800E64163D9CE6765F,4.3,5657,en,15 Stunden,Programmierung,Webentwicklung,Webentwicklung,99
115,"Learn MongoDB with PHP, PHP Basics & Advanced, Git, JSON,XML",https://www.udemy.com/course/mastering-mongodb/?couponCode=FREEMONGODB,3.8,125,en,"1,5 Stunden",Programmierung,Webentwicklung,MongoDB,99
40,Unofficial Udemy Student Guide: Courses Free or Dirt Cheap,https://www.udemy.com/course/unofficial-udemy-student-guide/?couponCode=B84C51FBF6F577B21D31,4.5,1046,en,"3,5 Stunden",Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,6
59,10 Product Creation Hacks That Work In 2020,https://www.udemy.com/course/10-product-creation-hacks-that-work-in-2016/?couponCode=65SUPERPROMO00,4.1,38,en,32 Min.,Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,99
84,How to Find a Hot Topic for Your Udemy Course - Unofficial,https://www.udemy.com/course/unofficial-how-to-find-a-hot-topic-for-your-udemy-course/?couponCode=65SUPERPROMO00,4.1,52,en,"1,5 Stunden",Wissenschaft & Lehre,Online-Unterricht,Online-Kurs-Erstellung,99
94,Everyday English: Brush Up On Your English Grammar,https://www.udemy.com/course/everyday-english-brush-up-your-english-grammar/?couponCode=FEB2020,3.9,116,en,"3,5 Stunden",Wissenschaft & Lehre,Sprache,Englische Grammatik,99
8,Aprende a programar con Go (Golang),https://www.udemy.com/course/aprende-a-programar-con-go/?couponCode=2B2F51C1C507E3484A4E,4.3,263,es,"27,5 Stunden",Programmierung,Programmiersprachen,Programmierung (Grundlagen),7
0,Aprenda a fazer o melhor Podcast com Power Podcasting,https://www.udemy.com/course/learn-podcasting-brazil/?couponCode=24209FB1079CB2C70382,4.3,9,pt,3 Stunden,Marketing,Social-Media-Marketing,Podcasts,5
85,Nasıl ISO 45001 Baş Denetçisi Olunur?,https://www.udemy.com/course/iso45001-basdenetci/?couponCode=DISCUDEMYCOM,3.6,38,tr,44 Min.,Business,Management,ISO 45001,22
